step 0: train loss 4.2966, val loss 4.2990
iter 348: loss 2.5029, time 23469.63ms, mfu 0.02%
iter 349: loss 2.5109, time 22900.37ms, mfu 0.02%
iter 350: loss 2.4864, time 22677.03ms, mfu 0.02%
iter 351: loss 2.5681, time 28558.38ms, mfu 0.02%
iter 352: loss 2.5558, time 28653.66ms, mfu 0.02%
iter 353: loss 2.5264, time 27874.17ms, mfu 0.02%
iter 354: loss 2.5284, time 28565.55ms, mfu 0.02%
iter 355: loss 2.5516, time 28253.17ms, mfu 0.02%
iter 356: loss 2.5076, time 27871.75ms, mfu 0.02%
iter 357: loss 2.5141, time 28074.98ms, mfu 0.02%
iter 358: loss 2.5123, time 27734.35ms, mfu 0.02%
iter 359: loss 2.5128, time 27166.59ms, mfu 0.02%
iter 360: loss 2.5210, time 27070.88ms, mfu 0.02%
iter 361: loss 2.4978, time 27270.18ms, mfu 0.02%
iter 362: loss 2.5001, time 27129.02ms, mfu 0.02%
iter 363: loss 2.5048, time 27458.08ms, mfu 0.02%
iter 364: loss 2.4561, time 27086.68ms, mfu 0.02%
iter 365: loss 2.4917, time 27069.80ms, mfu 0.02%
iter 366: loss 2.4731, time 27195.02ms, mfu 0.02%
iter 367: loss 2.4584, time 26796.77ms, mfu 0.02%
iter 368: loss 2.4952, time 26752.28ms, mfu 0.02%
iter 369: loss 2.5089, time 26949.09ms, mfu 0.02%
iter 370: loss 2.5025, time 54276.83ms, mfu 0.02%
iter 371: loss 2.4817, time 28740.44ms, mfu 0.02%
iter 372: loss 2.4942, time 29982.62ms, mfu 0.02%
iter 373: loss 2.4454, time 27079.85ms, mfu 0.02%
iter 374: loss 2.4623, time 29936.08ms, mfu 0.02%
iter 375: loss 2.4602, time 29715.79ms, mfu 0.02%
iter 376: loss 2.4356, time 29869.99ms, mfu 0.02%
iter 377: loss 2.4618, time 29678.96ms, mfu 0.02%
iter 378: loss 2.4445, time 29597.87ms, mfu 0.02%
iter 379: loss 2.4950, time 29669.30ms, mfu 0.02%
iter 380: loss 2.4602, time 30488.85ms, mfu 0.02%
iter 381: loss 2.4455, time 29847.79ms, mfu 0.02%
iter 382: loss 2.4588, time 29750.27ms, mfu 0.02%
iter 383: loss 2.5152, time 30169.94ms, mfu 0.02%
iter 384: loss 2.4605, time 29882.57ms, mfu 0.02%
iter 385: loss 2.4619, time 30026.15ms, mfu 0.02%
iter 386: loss 2.4555, time 29882.70ms, mfu 0.02%
iter 387: loss 2.4363, time 29849.80ms, mfu 0.02%
iter 388: loss 2.4459, time 30504.73ms, mfu 0.02%
iter 389: loss 2.4630, time 30243.88ms, mfu 0.02%
iter 390: loss 2.4254, time 30022.47ms, mfu 0.02%
iter 391: loss 2.4311, time 29393.68ms, mfu 0.02%
iter 392: loss 2.4366, time 29316.39ms, mfu 0.02%
iter 393: loss 2.4280, time 29085.59ms, mfu 0.02%
iter 394: loss 2.4235, time 29163.56ms, mfu 0.02%
iter 395: loss 2.4333, time 29145.14ms, mfu 0.02%
iter 396: loss 2.3957, time 28787.51ms, mfu 0.02%
iter 397: loss 2.4996, time 28493.23ms, mfu 0.02%
iter 398: loss 2.4592, time 27691.64ms, mfu 0.02%
iter 399: loss 2.4491, time 28453.89ms, mfu 0.02%
iter 400: loss 2.4068, time 27833.14ms, mfu 0.02%
iter 401: loss 2.4158, time 27861.45ms, mfu 0.02%
iter 402: loss 2.4374, time 27773.03ms, mfu 0.02%
iter 403: loss 2.4222, time 28160.32ms, mfu 0.02%
iter 404: loss 2.4082, time 27605.70ms, mfu 0.02%
iter 405: loss 2.4242, time 27800.07ms, mfu 0.02%
iter 406: loss 2.4074, time 27708.13ms, mfu 0.02%
iter 407: loss 2.3661, time 27989.57ms, mfu 0.02%
iter 408: loss 2.4344, time 27309.06ms, mfu 0.02%
